stu_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6220422002,พักผ่อน,สดชื่น,พักผ่อน,ฟิน,ได้เงิน,สดชื่น,ออกกำลังกาย,พักผ่อน,ฟิน,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,ฟิน,ออกกำลังกาย,พักผ่อน,สดชื่น,พักผ่อน,ฟิน,ได้เงิน,สดชื่น,ออกกำลังกาย,พักผ่อน,ฟิน,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,ฟิน,ออกกำลังกาย
6220422004,สดชื่น,พักผ่อน,เรียนรู้สิ่งใหม่,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,สดชื่น,,ฟิน,ได้เงิน,สดชื่น,พักผ่อน,,,,,,,,,,,,,,,,,,,,
6220422005,พักผ่อน,,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,ทำการบ้าน,สดชื่น,สดชื่น,สดชื่น,ฟิน,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,,,,,,,,,,
6220422008,พักผ่อน,,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,ฟิน,ออกกำลังกาย,,,,,,,,,,,,,,,,,
6220422009,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,,,,
6220422010,พักผ่อน,,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,ออกกำลังกาย,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ออกกำลังกาย,,,,,,,,,,,,,,,,,,,,,
6220422013,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,ฟิน,พักผ่อน,สดชื่น,สดชื่น,ฟิน,สดชื่น,,,,,,,,,,,,,,,,,,,,,,
6220422015,,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,,,,,,,,,,,,,
6220422017,พักผ่อน,,สดชื่น,พักผ่อน,พักผ่อน,,อิ่ม,พักผ่อน,,สดชื่น,พักผ่อน,อิ่ม,สดชื่น,สดชื่น,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,,
6220422020,สดชื่น,ฟิน,ฟิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,สดชื่น,สดชื่น,ฟิน,ฟิน,ฟิน,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,
6220422024,พักผ่อน,,ฟิน,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,ฟิน,พักผ่อน,สดชื่น,ฟิน,พักผ่อน,,สดชื่น,ฟิน,ฟิน,สดชื่น,,,,,,,,,,,,,,,,,,,,
6220422025,เรียนรู้สิ่งใหม่,เรียนรู้สิ่งใหม่,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,สดชื่น,สดชื่น,ได้เงิน,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,สดชื่น,ได้เงิน,ออกกำลังกาย,,,,,,,,,,
6220422026,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,ฟิน,สดชื่น,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,
6220422027,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,สดชื่น,,อิ่ม,สดชื่น,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,,,,,,,,,
6220422029,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,พักผ่อน,,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,,,,,,,,,,,,,
6220422030,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,,,,,
6220422031,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,ฟิน,สดชื่น,ฟิน,พักผ่อน,สดชื่น,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,,,,,,,,,,
6220422056,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,,,,,,,,,,,,,,,
6220422067,ฟิน,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,ทำการบ้าน,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,สดชื่น,พักผ่อน,,,,,,,,,,,,,,,,,,,,,
6220422068,สดชื่น,,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,สดชื่น,ฟิน,สดชื่น,สดชื่น,ฟิน,,,,,,,,,,,,,,,,,,,,,,,,
6220422103,สดชื่น,,สดชื่น,สดชื่น,อิ่ม,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,อิ่ม,ออกกำลังกาย,สดชื่น,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ออกกำลังกาย,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,,ได้เงิน,ทำการบ้าน,,สดชื่น,ออกกำลังกาย,,,,
6220422106,พักผ่อน,ฟิน,,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,สดชื่น,ฟิน,สดชื่น,ฟิน,สดชื่น,เรียนรู้สิ่งใหม่,พักผ่อน,ฟิน,,สดชื่น,สดชื่น,ฟิน,สดชื่น,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,,,,,
6220422109,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,,,สดชื่น,,สดชื่น,สดชื่น,พักผ่อน,,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,,
6310422091,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,พักผ่อน,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,,,
6310422092,สดชื่น,,สดชื่น,ทำการบ้าน,พักผ่อน,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,สดชื่น,พักผ่อน,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,
6310422093,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,อิ่ม,สดชื่น,อิ่ม,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,,,,,,,,,
6310422096,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,ได้เงิน,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,ได้เงิน,ฟิน,สดชื่น,ฟิน,เรียนรู้สิ่งใหม่,,สดชื่น,ฟิน,สดชื่น,พักผ่อน,,,,,,,,,,,,,,,,,
