stu_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6220422002,,ฟิน,,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,พักผ่อน,,ฟิน,ฟิน,พักผ่อน,ฟิน,,,ฟิน,,ฟิน,พักผ่อน,พักผ่อน,,ฟิน,,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,พักผ่อน,,ฟิน,ฟิน,พักผ่อน,ฟิน,,,ฟิน,,ฟิน,พักผ่อน,พักผ่อน
6220422004,ฟิน,,พักผ่อน,สดชื่น,ฟิน,ฟิน,อิ่ม,ฟิน,ฟิน,ฟิน,พักผ่อน,อิ่ม,ฟิน,สดชื่น,พักผ่อน,เรียนรู้สิ่งใหม่,ฟิน,,,,,,,,,,,,,,,,,,,,,
6220422005,,สดชื่น,ฟิน,,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,,ฟิน,ฟิน,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,
6220422008,,สดชื่น,ออกกำลังกาย,,ฟิน,,ฟิน,,ออกกำลังกาย,ฟิน,สดชื่น,ฟิน,พักผ่อน,,ฟิน,ฟิน,ฟิน,,ฟิน,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,
6220422009,ฟิน,,,,ฟิน,,เรียนรู้สิ่งใหม่,ฟิน,,,,ฟิน,ฟิน,ฟิน,,ฟิน,,,,,,,,,,,,,,,,,,,,,,
6220422010,,สดชื่น,,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,,,,,
6220422013,ฟิน,สดชื่น,อิ่ม,พักผ่อน,พักผ่อน,ฟิน,อิ่ม,ฟิน,ฟิน,ฟิน,พักผ่อน,,อิ่ม,สดชื่น,พักผ่อน,ฟิน,,,,,,,,,,,,,,,,,,,,,,
6220422015,สดชื่น,สดชื่น,ฟิน,อิ่ม,ฟิน,อิ่ม,ฟิน,พักผ่อน,อิ่ม,สดชื่น,ฟิน,ทำการบ้าน,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,,,,
6220422017,,สดชื่น,สดชื่น,,,สดชื่น,อิ่ม,,สดชื่น,ฟิน,,อิ่ม,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,สดชื่น,,,,,,,,,,,,,,,,,,,,,,
6220422020,ฟิน,ฟิน,ฟิน,สดชื่น,ฟิน,ฟิน,อิ่ม,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,ฟิน,ฟิน,ออกกำลังกาย,สดชื่น,พักผ่อน,ทำการบ้าน,พักผ่อน,,,,,,,,,,,,,
6220422024,,สดชื่น,ฟิน,,,ฟิน,,,พักผ่อน,,ฟิน,พักผ่อน,,สดชื่น,ฟิน,พักผ่อน,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,,,,
6220422025,พักผ่อน,พักผ่อน,ฟิน,สดชื่น,ฟิน,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,ออกกำลังกาย,ฟิน,เรียนรู้สิ่งใหม่,เรียนรู้สิ่งใหม่,ออกกำลังกาย,ฟิน,ฟิน,ฟิน,สดชื่น,ออกกำลังกาย,ฟิน,เรียนรู้สิ่งใหม่,พักผ่อน,,,,,,,,,,
6220422026,ทำการบ้าน,ฟิน,ฟิน,,,,,,ฟิน,ฟิน,ฟิน,,ฟิน,,,,,ฟิน,พักผ่อน,ฟิน,ฟิน,ฟิน,,,,,,,,,,,,,,,,
6220422027,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ออกกำลังกาย,ออกกำลังกาย,สดชื่น,อิ่ม,ฟิน,ทำการบ้าน,ฟิน,,,,,,,,,,,,,,,,,,,,,,,,
6220422029,,,ฟิน,ฟิน,ฟิน,ฟิน,,,สดชื่น,,ฟิน,,,,ฟิน,ฟิน,,ฟิน,,ฟิน,,,ฟิน,ฟิน,,,,,,,,,,,,,,
6220422030,,,ฟิน,ฟิน,,ฟิน,,,ฟิน,,ฟิน,,ฟิน,,,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,
6220422031,,ฟิน,ฟิน,สดชื่น,,ฟิน,ออกกำลังกาย,ฟิน,ฟิน,,พักผ่อน,ฟิน,พักผ่อน,,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,
6220422056,,,,ฟิน,,,,,,,ฟิน,,,,,ฟิน,ฟิน,,,,,ฟิน,ฟิน,,,,,,,,,,,,,,,
6220422067,พักผ่อน,ฟิน,สดชื่น,ฟิน,ฟิน,ฟิน,ฟิน,สดชื่น,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,สดชื่น,ออกกำลังกาย,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,
6220422068,ทำการบ้าน,สดชื่น,ฟิน,พักผ่อน,ฟิน,ฟิน,ทำการบ้าน,พักผ่อน,ออกกำลังกาย,ฟิน,พักผ่อน,ฟิน,ฟิน,พักผ่อน,สดชื่น,,,,,,,,,,,,,,,,,,,,,,,
6220422103,สดชื่น,สดชื่น,ฟิน,ฟิน,อิ่ม,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,อิ่ม,พักผ่อน,ฟิน,ฟิน,สดชื่น,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,สดชื่น,เรียนรู้สิ่งใหม่,ฟิน,สดชื่น,ฟิน,พักผ่อน,,,,
6220422106,,พักผ่อน,สดชื่น,ฟิน,ฟิน,พักผ่อน,ฟิน,ฟิน,พักผ่อน,ฟิน,พักผ่อน,ฟิน,พักผ่อน,ฟิน,พักผ่อน,สดชื่น,ออกกำลังกาย,ฟิน,พักผ่อน,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,
6220422109,ทำการบ้าน,ออกกำลังกาย,ออกกำลังกาย,พักผ่อน,ฟิน,สดชื่น,สดชื่น,ฟิน,สดชื่น,ฟิน,ฟิน,,สดชื่น,ฟิน,ฟิน,ออกกำลังกาย,สดชื่น,ฟิน,พักผ่อน,,,,,,,,,,,,,,,,,,,
6310422091,ฟิน,พักผ่อน,สดชื่น,สดชื่น,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,,ออกกำลังกาย,ฟิน,ฟิน,ฟิน,พักผ่อน,ออกกำลังกาย,,,,,,,,,,,,,,,,,,,
6310422092,ฟิน,สดชื่น,ฟิน,ฟิน,,สดชื่น,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,,ฟิน,,ฟิน,พักผ่อน,ฟิน,สดชื่น,พักผ่อน,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,,พักผ่อน,,,,,,,,,,,,,
6310422093,สดชื่น,ออกกำลังกาย,สดชื่น,ฟิน,ฟิน,ได้เงิน,ฟิน,ได้เงิน,ฟิน,ฟิน,ออกกำลังกาย,พักผ่อน,สดชื่น,ฟิน,สดชื่น,,,,,,,,,,,,,,,,,,,,,,,
6310422096,สดชื่น,สดชื่น,สดชื่น,ฟิน,ออกกำลังกาย,ออกกำลังกาย,เรียนรู้สิ่งใหม่,เรียนรู้สิ่งใหม่,ฟิน,พักผ่อน,ออกกำลังกาย,เรียนรู้สิ่งใหม่,พักผ่อน,ออกกำลังกาย,พักผ่อน,พักผ่อน,สดชื่น,ทำการบ้าน,พักผ่อน,ฟิน,,,,,,,,,,,,,,,,,,
